image_name,split,class_present,source,source_group
RDD2020_Japan_Japan_003900.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003901.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003903.jpg,train,both,RDD2020,Japan_0039
RDD2020_Japan_Japan_003905.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003908.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003911.jpg,train,both,RDD2020,Japan_0039
RDD2020_Japan_Japan_003912.jpg,train,both,RDD2020,Japan_0039
RDD2020_Japan_Japan_003914.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003915.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003917.jpg,train,both,RDD2020,Japan_0039
RDD2020_Japan_Japan_003919.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003924.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003926.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003927.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003929.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003930.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003933.jpg,train,both,RDD2020,Japan_0039
RDD2020_Japan_Japan_003936.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003939.jpg,train,pothole,RDD2020,Japan_0039
RDD2020_Japan_Japan_003946.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003947.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003952.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003954.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003956.jpg,train,pothole,RDD2020,Japan_0039
RDD2020_Japan_Japan_003960.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003962.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003963.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003965.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003967.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003973.jpg,train,both,RDD2020,Japan_0039
RDD2020_Japan_Japan_003975.jpg,train,both,RDD2020,Japan_0039
RDD2020_Japan_Japan_003978.jpg,train,both,RDD2020,Japan_0039
RDD2020_Japan_Japan_003979.jpg,train,both,RDD2020,Japan_0039
RDD2020_Japan_Japan_003983.jpg,train,alligator_crack,RDD2020,Japan_0039
RDD2020_Japan_Japan_003986.jpg,train,alligator_crack,RDD2020,Japan_0039
