filename,source_dataset,source_url,source_country,license,original_filename,original_class,final_class,image_width,image_height,split,sha256,phash,annotation_status,annotation_method,review_status
RDD2020_Japan_Japan_003900.jpg,RDD2020,https://doi.org/10.17632/5ty2wb6gvg.1,Japan,CC BY 4.0,Japan_003900.jpg,D44;D20,alligator_crack,600,600,train,dee69b8a1fbdc0d18955e404baeb58f865911215d0694586788bd4e34f9e0caa,dfc983d0023774dc,verified,manual_ground_truth_reprojected,accepted
RDD2020_Japan_Japan_003901.jpg,RDD2020,https://doi.org/10.17632/5ty2wb6gvg.1,Japan,CC BY 4.0,Japan_003901.jpg,D10;D44;D20;D00,alligator_crack,600,600,train,34b43691e039f08ff024897c02815521d12550417371f980df7131d82e153982,858591b93a6eccea,verified,manual_ground_truth_reprojected,accepted
RDD2020_Japan_Japan_003903.jpg,RDD2020,https://doi.org/10.17632/5ty2wb6gvg.1,Japan,CC BY 4.0,Japan_003903.jpg,D40;D20,both,600,600,train,49468eeb14567666382178ac226ef3b77febec159c6ddd8e1f353a1d20cad0c1,c958f2b71f4be084,verified,manual_ground_truth_reprojected,accepted
RDD2020_Japan_Japan_003905.jpg,RDD2020,https://doi.org/10.17632/5ty2wb6gvg.1,Japan,CC BY 4.0,Japan_003905.jpg,D20,alligator_crack,600,600,train,3dee7f50e2c1177d29eb336464453f317d4725d1782a981ed3813641b40b6e20,8d8f8f83a3b3303c,verified,manual_ground_truth_reprojected,accepted
RDD2020_Japan_Japan_003908.jpg,RDD2020,https://doi.org/10.17632/5ty2wb6gvg.1,Japan,CC BY 4.0,Japan_003908.jpg,D20,alligator_crack,600,600,train,b08219e198ee50a142f14d5fa917e41b0daecc41d3412eeb42f0bb8228e50e11,918455044fd70ffb,verified,manual_ground_truth_reprojected,accepted
RDD2020_Japan_Japan_003911.jpg,RDD2020,https://doi.org/10.17632/5ty2wb6gvg.1,Japan,CC BY 4.0,Japan_003911.jpg,D50;D40;D20,both,600,600,train,e2e5b81a0fa18e6d35476f222fc0571417235e8b30d269f08cb6c014e4a6d719,b1bb939266646ccc,verified,manual_ground_truth_reprojected,accepted
RDD2020_Japan_Japan_003912.jpg,RDD2020,https://doi.org/10.17632/5ty2wb6gvg.1,Japan,CC BY 4.0,Japan_003912.jpg,D10;D44;D40;D20,both,600,600,train,d4a76a9fbd1fca565ce6f12a0fb0feed88f4116a5fb48f318b15ec9b8f762b21,8187fb8352606fae,verified,manual_ground_truth_reprojected,accepted
RDD2020_Japan_Japan_003914.jpg,RDD2020,https://doi.org/10.17632/5ty2wb6gvg.1,Japan,CC BY 4.0,Japan_003914.jpg,D50;D20,alligator_crack,600,600,train,4ab6b887f95ed7cfd97f563bd647a64a073855075d23c79f4232ba3bc3e72c96,9c9cb86b5f94a06a,verified,manual_ground_truth_reprojected,accepted
RDD2020_Japan_Japan_003915.jpg,RDD2020,https://doi.org/10.17632/5ty2wb6gvg.1,Japan,CC BY 4.0,Japan_003915.jpg,D20,alligator_crack,600,600,train,233cb2dd988b4546350a6bc20e544b2e7b74086575f89120a5b37bc77fb448f3,d79db98fca6060b0,verified,manual_ground_truth_reprojected,accepted
RDD2020_Japan_Japan_003917.jpg,RDD2020,https://doi.org/10.17632/5ty2wb6gvg.1,Japan,CC BY 4.0,Japan_003917.jpg,D50;D44;D40;D20,both,600,600,train,149bc496e3abf367a4c801765bfb30c6c50bdfea932f807fb5af22a12579d805,dccc81a1e1e9a7b1,verified,manual_ground_truth_reprojected,accepted
