image_a,image_b,hash,similarity,action,source
RDD2020_India_India_000144.jpg,RDD2020_India_India_000443.jpg,9dbde84ce4a84366,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_000812.jpg,RDD2020_India_India_000853.jpg,9080e46a7ada5e6f,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_000168.jpg,RDD2020_India_India_001717.jpg,d59ca64b4a94e527,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_001903.jpg,RDD2020_India_India_003709.jpg,96ada95a148dea5c,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_003496.jpg,RDD2020_India_India_003842.jpg,d5a53ad3199de80a,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_000789.jpg,RDD2020_India_India_004414.jpg,9585ae2a43d5f52a,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_004419.jpg,RDD2020_India_India_004525.jpg,9b8a284babf56227,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_002549.jpg,RDD2020_India_India_005701.jpg,d595b42d49cab2b4,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_005266.jpg,RDD2020_India_India_005704.jpg,da94b52d2ac25675,0.969_phash_dist_2,dropped_near_duplicate,RDD2020
RDD2020_India_India_003712.jpg,RDD2020_India_India_005761.jpg,c3aaf4400bf66e39,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_001160.jpg,RDD2020_India_India_006058.jpg,9595ee6a2a1a91b5,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_006287.jpg,RDD2020_India_India_006370.jpg,828b474aadd64e3d,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_002696.jpg,RDD2020_India_India_006835.jpg,d196a60d49d6f615,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_006756.jpg,RDD2020_India_India_006899.jpg,d195b4ad290bd2e6,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_000052.jpg,RDD2020_India_India_006977.jpg,92a525521aedc57b,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_007974.jpg,RDD2020_India_India_008390.jpg,85a66659a5ee2a35,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_007271.jpg,RDD2020_India_India_008437.jpg,c1bd79041cd3ce5c,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_000940.jpg,RDD2020_India_India_008541.jpg,dfd7e5e00828c4ea,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_005810.jpg,RDD2020_India_India_008572.jpg,ddc5e2319cfc6221,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_007141.jpg,RDD2020_India_India_008940.jpg,949c7d161ed0c65e,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_006450.jpg,RDD2020_India_India_008989.jpg,848e296b309b7e57,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_002219.jpg,RDD2020_India_India_009095.jpg,c3a2f45a0bb5e03d,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_001038.jpg,RDD2020_India_India_009161.jpg,95a637421be9d748,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_003696.jpg,RDD2020_India_India_009205.jpg,d395b4a80b1bd6e4,0.969_phash_dist_2,dropped_near_duplicate,RDD2020
RDD2020_India_India_006794.jpg,RDD2020_India_India_009434.jpg,91952ccc55fbac4c,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_008957.jpg,RDD2020_India_India_009436.jpg,928ced4b72e4686b,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_001689.jpg,RDD2020_India_India_009544.jpg,868785b7b1632b6a,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_India_India_005810.jpg,RDD2020_India_India_009593.jpg,d5c5e2319cfe6221,0.969_phash_dist_2,dropped_near_duplicate,RDD2020
RDD2020_India_India_003320.jpg,RDD2020_India_India_009807.jpg,97a531d61b91e80f,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_Japan_Japan_000735.jpg,RDD2020_Japan_Japan_001121.jpg,8d8b8f8f50630f8d,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_Japan_Japan_002472.jpg,RDD2020_Japan_Japan_003606.jpg,8e848edcccd83b2b,0.969_phash_dist_2,dropped_near_duplicate,RDD2020
RDD2020_Japan_Japan_003130.jpg,RDD2020_Japan_Japan_004433.jpg,9bbb8498f12f6a0a,1.000_phash_dist_0,dropped_near_duplicate,RDD2020
RDD2020_Japan_Japan_001546.jpg,RDD2020_Japan_Japan_004908.jpg,98b8bc892b61d796,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_Japan_Japan_003745.jpg,RDD2020_Japan_Japan_005197.jpg,9898b9b7a5664c1d,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
RDD2020_Japan_Japan_005289.jpg,RDD2020_Japan_Japan_005451.jpg,8485c3fff9782407,0.969_phash_dist_2,dropped_near_duplicate,RDD2020
RDD2020_Japan_Japan_003649.jpg,RDD2020_Japan_Japan_005906.jpg,bc3ca390184b577b,0.938_phash_dist_4,dropped_near_duplicate,RDD2020
